date,Amazon Affiliate Marketing,Pinterest Affiliate Marketing,Make Money Pinterest,Amazon Associates,Affiliate Marketing
2021-04-18,6,0,0,11,56
2021-04-25,6,0,0,13,60
2021-05-02,7,0,0,13,66
2021-05-09,7,0,0,15,72
2021-05-16,8,0,1,16,76
2021-05-23,9,0,0,25,85
2021-05-30,10,1,0,19,100
2021-06-06,9,0,0,17,100
2021-06-13,9,0,0,17,95
2021-06-20,8,0,0,15,83
2021-06-27,8,0,0,18,94
2021-07-04,9,0,0,17,98
2021-07-11,9,0,0,15,94
2021-07-18,7,0,0,13,82
2021-07-25,7,0,0,17,76
2021-08-01,8,0,0,14,75
2021-08-08,6,0,0,13,70
2021-08-15,7,0,0,15,71
2021-08-22,7,0,0,14,62
2021-08-29,8,0,0,11,64
2021-09-05,8,0,0,11,61
2021-09-12,6,0,0,10,58
2021-09-19,4,0,0,8,53
2021-09-26,5,0,0,10,47
2021-10-03,5,0,0,11,42
2021-10-10,5,0,0,9,39
2021-10-17,4,0,0,10,42
2021-10-24,5,0,0,9,42
2021-10-31,4,0,0,9,36
2021-11-07,4,0,0,8,37
2021-11-14,4,0,0,8,39
2021-11-21,4,0,0,13,42
2021-11-28,5,0,0,9,44
2021-12-05,4,0,0,8,41
2021-12-12,4,0,0,9,40
2021-12-19,4,0,0,8,39
2021-12-26,4,0,0,10,42
2022-01-02,7,0,0,12,63
2022-01-09,6,0,0,12,59
2022-01-16,5,0,0,13,59
2022-01-23,7,0,0,11,67
2022-01-30,7,0,0,15,66
2022-02-06,6,0,0,12,57
2022-02-13,6,0,0,12,58
2022-02-20,5,0,0,13,54
2022-02-27,5,0,1,13,56
2022-03-06,5,0,0,12,57
2022-03-13,6,0,0,11,58
2022-03-20,6,0,0,12,55
2022-03-27,4,0,0,11,48
2022-04-03,5,0,0,10,51
2022-04-10,4,0,0,10,51
2022-04-17,5,0,0,9,55
2022-04-24,5,0,0,10,56
2022-05-01,5,0,0,12,57
2022-05-08,5,0,0,13,55
2022-05-15,6,0,0,19,56
2022-05-22,4,0,0,10,56
2022-05-29,5,0,0,12,55
2022-06-05,5,0,0,10,59
2022-06-12,5,0,0,11,57
2022-06-19,5,0,0,12,61
2022-06-26,5,0,0,11,59
2022-07-03,5,0,0,11,60
2022-07-10,6,0,0,10,59
2022-07-17,6,0,0,10,59
2022-07-24,5,0,0,11,58
2022-07-31,6,0,0,10,59
2022-08-07,4,0,0,9,53
2022-08-14,5,0,0,10,58
2022-08-21,4,0,0,10,57
2022-08-28,5,0,1,10,50
2022-09-04,4,0,0,10,49
2022-09-11,5,0,0,10,55
2022-09-18,5,1,1,12,53
2022-09-25,4,0,0,12,45
2022-10-02,5,0,0,11,43
2022-10-09,4,1,0,12,45
2022-10-16,4,0,0,11,39
2022-10-23,3,0,0,9,40
2022-10-30,3,0,0,10,42
2022-11-06,4,0,0,10,41
2022-11-13,5,0,0,10,44
2022-11-20,4,0,0,11,47
2022-11-27,4,0,1,17,50
2022-12-04,5,0,0,14,48
2022-12-11,4,0,0,14,48
2022-12-18,4,0,0,12,45
2022-12-25,4,0,1,13,48
2023-01-01,6,0,1,13,66
2023-01-08,6,0,0,13,63
2023-01-15,6,0,0,22,65
2023-01-22,6,0,0,23,57
2023-01-29,5,0,1,16,56
2023-02-05,4,0,0,13,54
2023-02-12,6,0,0,14,52
2023-02-19,5,0,0,13,51
2023-02-26,5,0,0,14,52
2023-03-05,6,0,0,13,67
2023-03-12,6,0,0,14,54
2023-03-19,6,0,0,13,55
2023-03-26,6,0,1,13,56
2023-04-02,6,0,1,13,60
2023-04-09,5,0,0,14,52
2023-04-16,4,0,0,12,49
2023-04-23,4,0,0,11,52
2023-04-30,6,1,1,13,50
2023-05-07,5,0,1,14,51
2023-05-14,6,0,1,14,53
2023-05-21,5,1,1,12,58
2023-05-28,6,1,0,14,62
2023-06-04,7,0,1,16,68
2023-06-11,9,1,1,19,78
2023-06-18,9,1,0,17,80
2023-06-25,9,1,1,19,76
2023-07-02,8,1,1,18,76
2023-07-09,8,1,0,20,68
2023-07-16,7,1,1,17,67
2023-07-23,9,0,0,18,75
2023-07-30,8,1,0,16,72
2023-08-06,9,0,1,16,75
2023-08-13,7,1,0,18,77
2023-08-20,8,1,1,18,77
2023-08-27,7,1,0,17,66
2023-09-03,8,1,1,17,69
2023-09-10,7,0,0,15,70
2023-09-17,9,1,0,18,75
2023-09-24,10,1,0,25,72
2023-10-01,7,1,1,34,68
2023-10-08,6,0,0,28,60
2023-10-15,6,0,0,26,51
2023-10-22,6,1,0,26,53
2023-10-29,4,0,0,23,50
2023-11-05,6,0,1,21,46
2023-11-12,6,0,0,16,48
2023-11-19,6,1,0,16,48
2023-11-26,6,0,0,19,48
2023-12-03,5,1,0,16,56
2023-12-10,6,0,0,17,49
2023-12-17,7,0,0,18,45
2023-12-24,6,1,0,20,47
2023-12-31,7,1,0,23,49
2024-01-07,5,0,1,18,46
2024-01-14,6,1,0,20,44
2024-01-21,7,0,0,20,45
2024-01-28,6,1,0,21,44
2024-02-04,6,0,0,22,49
2024-02-11,6,0,0,17,43
2024-02-18,6,1,1,19,42
2024-02-25,7,1,1,18,45
2024-03-03,4,0,0,15,38
2024-03-10,4,1,1,14,40
2024-03-17,4,0,0,15,37
2024-03-24,5,0,0,16,39
2024-03-31,5,0,0,12,38
2024-04-07,5,0,0,14,38
2024-04-14,5,0,0,14,35
2024-04-21,4,0,1,12,35
2024-04-28,3,0,0,13,33
2024-05-05,3,0,0,13,35
2024-05-12,4,1,0,13,31
2024-05-19,4,0,0,11,34
2024-05-26,4,0,0,13,38
2024-06-02,2,0,0,11,30
2024-06-09,4,1,0,11,35
2024-06-16,3,1,0,10,34
2024-06-23,4,0,0,11,33
2024-06-30,4,0,0,12,34
2024-07-07,3,0,0,12,35
2024-07-14,3,1,0,15,32
2024-07-21,4,0,1,13,34
2024-07-28,3,0,0,13,34
2024-08-04,4,0,0,12,35
2024-08-11,3,0,0,11,34
2024-08-18,3,0,0,12,31
2024-08-25,3,0,0,12,32
