date,Amazon Affiliate Marketing,Pinterest Affiliate Marketing,Make Money Pinterest,Amazon Associates,Affiliate Marketing,Total_Interest,Weekly_Average,Top_Keyword,Trend_Direction
2021-04-18,6,0,0,11,56,73,24.333333333333332,Affiliate Marketing,📉 DOWN
2021-04-25,6,0,0,13,60,79,26.333333333333332,Affiliate Marketing,📈 UP
2021-05-02,7,0,0,13,66,86,28.666666666666668,Affiliate Marketing,📈 UP
2021-05-09,7,0,0,15,72,94,31.333333333333332,Affiliate Marketing,📈 UP
2021-05-16,8,0,1,16,76,101,33.666666666666664,Affiliate Marketing,📈 UP
2021-05-23,9,0,0,25,85,119,39.666666666666664,Affiliate Marketing,📈 UP
2021-05-30,10,1,0,19,100,130,43.333333333333336,Affiliate Marketing,📈 UP
2021-06-06,9,0,0,17,100,126,42.0,Affiliate Marketing,📉 DOWN
2021-06-13,9,0,0,17,95,121,40.333333333333336,Affiliate Marketing,📉 DOWN
2021-06-20,8,0,0,15,83,106,35.333333333333336,Affiliate Marketing,📉 DOWN
2021-06-27,8,0,0,18,94,120,40.0,Affiliate Marketing,📈 UP
2021-07-04,9,0,0,17,98,124,41.333333333333336,Affiliate Marketing,📈 UP
2021-07-11,9,0,0,15,94,118,39.333333333333336,Affiliate Marketing,📉 DOWN
2021-07-18,7,0,0,13,82,102,34.0,Affiliate Marketing,📉 DOWN
2021-07-25,7,0,0,17,76,100,33.333333333333336,Affiliate Marketing,📉 DOWN
2021-08-01,8,0,0,14,75,97,32.333333333333336,Affiliate Marketing,📉 DOWN
2021-08-08,6,0,0,13,70,89,29.666666666666668,Affiliate Marketing,📉 DOWN
2021-08-15,7,0,0,15,71,93,31.0,Affiliate Marketing,📈 UP
2021-08-22,7,0,0,14,62,83,27.666666666666668,Affiliate Marketing,📉 DOWN
2021-08-29,8,0,0,11,64,83,27.666666666666668,Affiliate Marketing,📉 DOWN
2021-09-05,8,0,0,11,61,80,26.666666666666668,Affiliate Marketing,📉 DOWN
2021-09-12,6,0,0,10,58,74,24.666666666666668,Affiliate Marketing,📉 DOWN
2021-09-19,4,0,0,8,53,65,21.666666666666668,Affiliate Marketing,📉 DOWN
2021-09-26,5,0,0,10,47,62,20.666666666666668,Affiliate Marketing,📉 DOWN
2021-10-03,5,0,0,11,42,58,19.333333333333332,Affiliate Marketing,📉 DOWN
2021-10-10,5,0,0,9,39,53,17.666666666666668,Affiliate Marketing,📉 DOWN
2021-10-17,4,0,0,10,42,56,18.666666666666668,Affiliate Marketing,📈 UP
2021-10-24,5,0,0,9,42,56,18.666666666666668,Affiliate Marketing,📉 DOWN
2021-10-31,4,0,0,9,36,49,16.333333333333332,Affiliate Marketing,📉 DOWN
2021-11-07,4,0,0,8,37,49,16.333333333333332,Affiliate Marketing,📉 DOWN
2021-11-14,4,0,0,8,39,51,17.0,Affiliate Marketing,📈 UP
2021-11-21,4,0,0,13,42,59,19.666666666666668,Affiliate Marketing,📈 UP
2021-11-28,5,0,0,9,44,58,19.333333333333332,Affiliate Marketing,📉 DOWN
2021-12-05,4,0,0,8,41,53,17.666666666666668,Affiliate Marketing,📉 DOWN
2021-12-12,4,0,0,9,40,53,17.666666666666668,Affiliate Marketing,📉 DOWN
2021-12-19,4,0,0,8,39,51,17.0,Affiliate Marketing,📉 DOWN
2021-12-26,4,0,0,10,42,56,18.666666666666668,Affiliate Marketing,📈 UP
2022-01-02,7,0,0,12,63,82,27.333333333333332,Affiliate Marketing,📈 UP
2022-01-09,6,0,0,12,59,77,25.666666666666668,Affiliate Marketing,📉 DOWN
2022-01-16,5,0,0,13,59,77,25.666666666666668,Affiliate Marketing,📉 DOWN
2022-01-23,7,0,0,11,67,85,28.333333333333332,Affiliate Marketing,📈 UP
2022-01-30,7,0,0,15,66,88,29.333333333333332,Affiliate Marketing,📈 UP
2022-02-06,6,0,0,12,57,75,25.0,Affiliate Marketing,📉 DOWN
2022-02-13,6,0,0,12,58,76,25.333333333333332,Affiliate Marketing,📈 UP
2022-02-20,5,0,0,13,54,72,24.0,Affiliate Marketing,📉 DOWN
2022-02-27,5,0,1,13,56,75,25.0,Affiliate Marketing,📈 UP
2022-03-06,5,0,0,12,57,74,24.666666666666668,Affiliate Marketing,📉 DOWN
2022-03-13,6,0,0,11,58,75,25.0,Affiliate Marketing,📈 UP
2022-03-20,6,0,0,12,55,73,24.333333333333332,Affiliate Marketing,📉 DOWN
2022-03-27,4,0,0,11,48,63,21.0,Affiliate Marketing,📉 DOWN
2022-04-03,5,0,0,10,51,66,22.0,Affiliate Marketing,📈 UP
2022-04-10,4,0,0,10,51,65,21.666666666666668,Affiliate Marketing,📉 DOWN
2022-04-17,5,0,0,9,55,69,23.0,Affiliate Marketing,📈 UP
2022-04-24,5,0,0,10,56,71,23.666666666666668,Affiliate Marketing,📈 UP
2022-05-01,5,0,0,12,57,74,24.666666666666668,Affiliate Marketing,📈 UP
2022-05-08,5,0,0,13,55,73,24.333333333333332,Affiliate Marketing,📉 DOWN
2022-05-15,6,0,0,19,56,81,27.0,Affiliate Marketing,📈 UP
2022-05-22,4,0,0,10,56,70,23.333333333333332,Affiliate Marketing,📉 DOWN
2022-05-29,5,0,0,12,55,72,24.0,Affiliate Marketing,📈 UP
2022-06-05,5,0,0,10,59,74,24.666666666666668,Affiliate Marketing,📈 UP
2022-06-12,5,0,0,11,57,73,24.333333333333332,Affiliate Marketing,📉 DOWN
2022-06-19,5,0,0,12,61,78,26.0,Affiliate Marketing,📈 UP
2022-06-26,5,0,0,11,59,75,25.0,Affiliate Marketing,📉 DOWN
2022-07-03,5,0,0,11,60,76,25.333333333333332,Affiliate Marketing,📈 UP
2022-07-10,6,0,0,10,59,75,25.0,Affiliate Marketing,📉 DOWN
2022-07-17,6,0,0,10,59,75,25.0,Affiliate Marketing,📉 DOWN
2022-07-24,5,0,0,11,58,74,24.666666666666668,Affiliate Marketing,📉 DOWN
